"","V1","V2","V3","V4","V5","V6"
"1",92,2,1,1,2,1
"2",10,2,1,3,2,2
"3",83,3,1,4,1,3
"4",61,2,4,2,2,3
"5",107,1,1,3,4,3
"6",113,1,1,3,2,2
"7",80,3,1,3,2,2
"8",125,3,4,2,4,3
"9",36,2,2,1,1,1
"10",105,3,2,1,1,1
"11",81,1,2,1,1,1
"12",122,2,2,3,4,3
"13",94,1,1,2,1,1
"14",60,2,1,2,2,2
"15",8,2,4,1,4,3
"16",20,1,1,3,3,1
"17",85,3,2,1,2,2
"18",50,1,2,1,1,1
"19",68,3,3,2,1,1
"20",89,3,1,3,2,1
"21",52,1,2,2,1,2
"22",19,3,2,1,3,1
"23",118,2,1,2,1,1
"24",16,3,2,1,3,1
"25",91,2,3,2,1,1
"26",79,3,2,2,1,2
"27",23,3,2,1,3,2
"28",25,2,1,2,2,2
"29",30,1,1,3,2,1
"30",57,3,2,1,1,1
"31",3,1,4,1,1,3
"32",114,2,2,1,3,1
"33",37,1,2,1,3,2
"34",66,1,1,1,2,1
"35",110,2,4,3,1,3
"36",116,3,1,2,2,2
"37",88,1,1,2,2,2
"38",77,3,2,2,1,2
"39",82,1,2,1,2,2
"40",64,3,4,3,2,3
"41",84,2,2,2,1,2
"42",86,2,2,1,2,2
"43",6,3,2,1,3,2
"44",74,3,2,1,1,1
"45",106,3,1,2,1,1
"46",115,1,2,1,3,2
"47",130,2,1,1,2,1
"48",54,1,1,1,2,1
"49",33,1,2,2,3,2
"50",67,3,3,1,1,1
"51",69,3,3,3,1,1
"52",39,3,2,1,2,2
"53",53,3,2,1,2,2
"54",127,3,1,2,1,1
"55",96,1,1,1,2,1
"56",121,2,1,3,2,1
"57",70,2,2,2,1,2
"58",123,2,1,2,1,1
"59",42,2,2,1,3,1
"60",78,2,1,2,2,2
"61",11,1,2,4,2,3
"62",129,2,2,1,2,2
"63",128,1,1,2,4,3
"64",5,1,3,2,1,1
"65",4,2,4,4,2,3
"66",95,2,3,2,1,1
"67",73,3,1,2,2,2
"68",26,1,1,2,2,2
"69",48,1,3,2,4,3
"70",104,1,1,2,2,2
"71",102,3,1,4,2,3
"72",2,2,1,3,2,2
"73",41,1,1,3,2,2
"74",119,3,1,3,2,1
"75",75,1,2,4,4,3
"76",47,1,4,2,1,3
"77",93,2,1,2,1,1
"78",46,3,4,1,2,3
"79",132,2,2,1,1,1
"80",108,1,1,2,1,1
"81",18,2,2,4,3,3
"82",62,3,1,2,2,2
"83",120,1,1,3,2,1
"84",35,1,2,1,3,1
"85",27,1,4,4,1,3
"86",98,3,3,3,2,2
"87",109,2,2,1,3,2
"88",31,3,3,2,1,2
"89",112,1,1,1,3,1
"90",34,2,2,1,2,2
"91",63,2,2,2,1,2
"92",65,2,3,2,3,2
"93",117,1,3,2,1,2
"94",56,2,2,1,2,2
"95",59,1,1,1,2,1
"96",76,3,2,2,1,2
"97",1,3,2,1,1,1
"98",28,1,1,2,1,1
"99",22,3,1,4,4,3
"100",29,3,3,2,1,2
"101",111,2,3,2,1,2
"102",97,2,1,3,1,1
"103",49,1,2,1,2,2
"104",51,3,1,1,2,1
"105",87,2,2,4,1,3
"106",58,1,2,2,1,2
"107",32,2,3,2,1,2
"108",72,2,2,1,4,3
"109",55,1,4,2,3,3
"110",103,2,2,1,1,1
"111",7,1,2,1,1,1
"112",99,2,2,3,2,2
"113",15,1,3,2,1,1
"114",126,3,1,2,1,1
"115",45,3,1,1,2,1
"116",101,3,3,1,4,3
"117",100,2,3,4,1,3
"118",24,1,2,3,3,2
"119",124,3,3,2,2,2
"120",13,3,3,4,2,3
"121",14,1,2,2,1,2
"122",38,2,1,1,4,3
"123",71,3,1,2,2,2
"124",43,3,2,2,4,3
"125",131,2,3,1,3,1
"126",17,2,1,1,2,1
"127",12,3,4,1,3,3
"128",44,1,1,4,3,3
"129",40,2,1,2,1,1
"130",90,1,2,1,2,2
"131",21,1,2,2,1,2
"132",9,3,1,1,2,1
